model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,gene,fdr
Exploratory single candidate,HRD_total,HORMAD1_expr_z,103,estimated,,7.119835749863233,2.078989675791429,2.995679475317356,11.24399202440911,0.0008909124507087915,0.10404046966885616,2.0469000241589224,3.0593367121325477,11.180334787593917,0.0007458047204445786,0.29158530997813137,0.0028046413750498034,0.322553049387006,0.0008909124507087842,{'HORMAD1_expr_z': 0.9999999999999998},False,0.804476977717602,0.01808837643997576,0.5495724801540397,0.038834951456310676,3,HORMAD1,0.008018212056379124
Exploratory single candidate,HRD_total,HORMAD2_expr_z,103,estimated,,1.6242609360338516,2.108709327823203,-2.558851133642418,5.807373005710121,0.44294181409759703,0.0058400030107725875,4.836696470755474,-7.970443804549602,11.218965676617305,0.737702980302922,0.10377672775033532,0.2968627211641149,0.07641991239704995,0.4429418140975983,{'HORMAD2_expr_z': 1.0},False,0.7310475455440604,0.006126720938256326,0.2226402937439267,0.038834951456310676,2,HORMAD2,0.44294181409759703
Exploratory single candidate,HRD_total,STAG3_expr_z,103,estimated,,2.534584373639293,2.112253332537032,-1.6555580480621708,6.724726795340757,0.23296846853584288,0.014055700819794459,2.3527935444400283,-2.132725123854739,7.201893871133326,0.28392778935464147,0.14536706327606902,0.14289254807537655,0.11855674092937396,0.2329684685358428,{'STAG3_expr_z': 1.0},False,0.7017018654788181,0.0023212686126809026,0.6216586027675884,0.038834951456310676,4,STAG3,0.26208952710282324
Exploratory single candidate,HRD_total,REC8_expr_z,103,estimated,,3.0173025285649144,2.287357111786708,-1.520198688756512,7.554803745886341,0.19011126616237398,0.016936741418321466,2.5331066139007765,-2.0076995950438112,8.042304652173641,0.23638759288687486,0.15426574233090698,0.1197442131416564,0.13014123642536105,0.19011126616237403,{'REC8_expr_z': 1.0},False,0.770946851790823,0.006497789387649758,0.3888133678545561,0.038834951456310676,5,REC8,0.24442877078019512
Exploratory single candidate,HRD_total,SMC1B_expr_z,103,estimated,,5.803899113281866,2.146334028888174,1.546149757628723,10.061648468935008,0.008038302968169594,0.06750996934154307,2.475482245747833,0.8932082352998094,10.714589991263923,0.021006616091932075,0.2693608177852402,0.005934131152084286,0.259826806433715,0.008038302968169608,{'SMC1B_expr_z': 1.0},False,0.9719102990954106,0.0032239654515924805,0.4536297947995378,0.038834951456310676,6,SMC1B,0.036172363356763174
Exploratory single candidate,HRD_total,SYCP2_expr_z,103,estimated,,4.0855572969657645,2.1305371344148503,-0.14085526937133963,8.311969863302869,0.05798440882062499,0.035129506313894554,2.3290246275383,-0.5346010631653053,8.705715657096835,0.08243063483524805,0.1868502881045482,0.058776676714235906,0.187428669935778,0.05798440882062493,{'SYCP2_expr_z': 1.0},False,0.44455762018317213,0.0023081950147551154,0.025215201560436884,0.038834951456310676,5,SYCP2,0.08697661323093749
Exploratory single candidate,HRD_total,SYCP3_expr_z,103,estimated,,4.753326450483142,2.1120738980996543,0.5635399784380901,8.943112922528194,0.026581964279094806,0.047753486232325115,2.2008918080402107,0.38734913687753547,9.119303764088748,0.03316021833388786,0.28104831217898946,0.0040310754092154075,0.2185257106894406,0.02658196427909484,{'SYCP3_expr_z': 1.0},False,0.5858097912951535,0.027684834554328134,0.010777810943126674,0.038834951456310676,3,SYCP3,0.04784753570237065
Exploratory single candidate,HRD_total,MSH4_expr_z,103,estimated,,5.473456553344552,2.149673299346435,1.2090829833563372,9.737830123332767,0.012401141985744792,0.0603168289420245,1.6604403763589222,2.179589500318854,8.767323606370251,0.0013521573239630292,0.12730743879336498,0.2000242813840967,0.24559484714062055,0.012401141985744752,{'MSH4_expr_z': 1.0},False,0.16343143127504312,0.05427037663036937,0.5456007812208847,0.038834951456310676,1,MSH4,0.03720342595723438
Exploratory single candidate,HRD_total,MSH5_expr_z,103,estimated,,5.145265743065035,2.1297997937983677,0.9203158621685334,9.370215623961535,0.017495039740451284,0.05462848989465097,2.16287192237575,0.8547096553781728,9.435821830751896,0.019243437990530857,0.26092904473019307,0.0077653469205315375,0.23372738370728233,0.01749503974045111,{'MSH5_expr_z': 1.0},False,0.661927287324235,0.006497786924911346,0.29100241788175063,0.038834951456310676,3,MSH5,0.039363839416015386
