model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n
Candidate versus proliferation,proliferation,candidate_mean_z,113,estimated,,0.523769357448289,0.14815748305338816,0.23018541422430083,0.8173533006722772,0.0005954423204930318,0.10119844247838616,0.17793185045686524,0.17118551756594114,0.8763531973306369,0.003950914497559007,0.307854814026216,0.0009095701217904513,0.3181170263886958,0.0005954423204930292,{'candidate_mean_z': 0.9999999999999998},False,0.15224256088414254,5.768025818400875e-05,0.005031233154409193,0.035398230088495575,7
HRD adjusted for proliferation,HRD_total,candidate_mean_z,103,estimated,,12.887990434535991,3.901266697421643,5.147988420975389,20.627992448096595,0.0013254672264941883,0.20864411930200755,4.501069395264048,3.9579969517668037,21.817983917305177,0.0051080831695266785,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,"{'candidate_mean_z': 1.0853947914703619, 'proliferation': 1.0853947914703617}",False,0.465879008971365,0.0524930302771735,0.1297271074298471,0.038834951456310676,5
