model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,fdr,odds_ratio,or_ci_low,or_ci_high,predictor_sd_for_OR
Secondary outcome,HRD_LOH,candidate_mean_z,103,estimated,,3.8752746073591964,1.244312799730595,1.4068927292466316,6.343656485471762,0.002398930151402728,0.08761944082418005,1.2986585044295076,1.2990854699617502,6.4514637447566425,0.003567349449157554,0.3080541737711004,0.0015475819883586724,0.296005812145945,0.0023989301514027077,{'candidate_mean_z': 1.0},False,0.5947655185473524,0.32667966343844235,0.5049751801105884,0.038834951456310676,5.0,0.004797860302805456,,,,
Secondary outcome,LST,candidate_mean_z,103,estimated,,6.107254443115797,1.7252572972932616,2.6848080545210853,9.529700831710509,0.000606898884950479,0.11037481250445724,1.8896117886579715,2.358772954537469,9.855735931694124,0.0016603204237331552,0.28770605174472824,0.003210435128929625,0.3322270496278969,0.0006068988849504757,{'candidate_mean_z': 1.0},False,0.8484467223030124,0.07192054967746873,0.9031544166489082,0.038834951456310676,5.0,0.002427595539801916,,,,
Secondary outcome,TAI,candidate_mean_z,103,estimated,,6.020305380497664,1.3407837388939494,3.360551109489293,8.680059651506035,1.8941506965856187e-05,0.16640082555925773,1.4539950165552782,3.1359703881162613,8.904640372879067,7.19848310069988e-05,0.37489441898240006,9.555050059169377e-05,0.4079225729954863,1.8941506965856357e-05,{'candidate_mean_z': 1.0},False,0.9958998693454205,0.05453155302297948,0.12427578980129397,0.038834951456310676,8.0,0.0001515320557268495,,,,
Secondary outcome,aneuploidy,candidate_mean_z,102,estimated,,-2.1827728264434154,1.2468249070595088,-4.656437930543092,0.290892277656261,0.083070374132419,0.0297368974199953,1.2523645504366951,-4.667428425225798,0.301882772338967,0.08442124254621312,-0.19056076056920132,0.055051567580987074,-0.1724438964416986,0.08307037413241887,{'candidate_mean_z': 1.0},False,0.0016847336037335125,0.7901676303916694,0.6061437251548423,0.0392156862745098,6.0,0.11076049884322532,,,,
Secondary outcome,FGA,candidate_mean_z,108,estimated,,0.1446109088318806,0.04366649682218402,0.05803783180373745,0.23118398586002376,0.0012685853349993564,0.0937649247871637,0.04468627127475949,0.056016029766499206,0.23320578789726198,0.00161694228450973,0.3056293882839368,0.0012973499835584974,0.3062105889533602,0.001268585334999356,{'candidate_mean_z': 1.0000000000000002},False,0.14956793296370685,0.00024742926962515707,0.3258502089338646,0.037037037037037035,7.0,0.0033828942266649503,,,,
Secondary outcome,LOH_fraction,candidate_mean_z,102,estimated,,0.07630691266052554,0.031619013362108775,0.013575690708623342,0.13903813461242776,0.01762806316547784,0.05503594474606299,0.03206990975646288,0.01268112510445317,0.13993270021659793,0.019238449431763577,0.2369508795539748,0.016491765708919418,0.2345974099304235,0.017628063165477804,{'candidate_mean_z': 1.0},False,0.16202696571742403,0.9322120803693799,0.007622420227733584,0.0392156862745098,7.0,0.028204901064764542,,,,
Secondary outcome,ploidy,candidate_mean_z,100,estimated,,-0.05261751718376512,0.16074010219284507,-0.3716010186066867,0.2663659842391565,0.7441049500956578,0.0010922235625294707,0.14591575972264734,-0.3421825934413039,0.23694755907377368,0.7191730780162863,-0.04393837110830476,0.6642381160679451,-0.033048805765553704,0.7441049500956507,{'candidate_mean_z': 1.0},False,0.9677730245506772,0.0010628171427381518,0.9376764185572726,0.04,5.0,0.7441049500956578,,,,
Secondary outcome,WGD,candidate_mean_z,100,estimated,,-0.14807565336964215,0.20557292112461026,-0.5509911749705715,0.25483986823128724,0.4713358781773118,0.0038959135653303667,,,,,,,,,{'candidate_mean_z': 1.0},,,,,,,0.538669575059785,0.8623658715900867,0.5763782354813228,1.2902549935153274,0.5226998795258531
