model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n
Model 0,HRD_total,candidate_mean_z,103,estimated,,16.002834430972655,3.874082852839332,8.317696168049016,23.687972693896292,7.465452030491402e-05,0.14452471119340615,4.174692109193345,7.721368266465271,24.28430059548004,0.0002200278310652285,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,{'candidate_mean_z': 1.0},False,0.7720117655500796,0.014796318462788284,0.490602402769159,0.038834951456310676,6
Model 1,HRD_total,candidate_mean_z,100,estimated,,14.725932490684382,4.1718460385628315,6.442634385259552,23.009230596109212,0.0006458485490164545,0.19162068572241142,4.685576826241012,5.42260986351593,24.029255117852834,0.002238773246028941,0.33531213995106507,0.0006490250913366226,0.36594942068249275,0.00018094527313371384,"{'candidate_mean_z': 1.122402061572844, 'age': 1.0445021284951745, 'stage_II': 1.7433355079743156, 'stage_III': 1.8222941177297423, 'stage_IV': 1.0971922001610357}",False,0.7990405368679766,0.08663468540016309,0.23685268479070468,0.04,5
Model 2,HRD_total,candidate_mean_z,97,estimated,,15.504944938671263,4.425611838831581,6.712694571427376,24.297195305915153,0.0007175416727093436,0.2178337077246566,5.282999812173556,5.009343713283274,26.00054616405925,0.004233995410723407,0.3595474010536538,0.0002980741990141424,0.38424733163334857,0.00010207316945493207,"{'candidate_mean_z': 1.201638105751027, 'age': 1.0487741714162007, 'purity': 1.110477672087344, 'stage_II': 1.8022966177327575, 'stage_III': 1.864050192755814, 'stage_IV': 1.1124199457049775}",False,0.7498765659221152,0.15381949960140784,0.34743751471095075,0.041237113402061855,9
Model 3,HRD_total,candidate_mean_z,97,estimated,,13.198646605801843,4.450403914089189,4.355788824307243,22.041504387296442,0.0038761826482368823,0.2596355953672157,5.544233274630158,2.182373184017763,24.214920027585922,0.019417191667375634,0.3595474010536538,0.0002980741990141424,0.38424733163334857,0.00010207316945493207,"{'candidate_mean_z': 1.2694832413258519, 'age': 1.0532825065851732, 'purity': 1.1688259938965868, 'proliferation': 1.2506694237791234, 'stage_II': 1.8889461173970636, 'stage_III': 1.9115113648129585, 'stage_IV': 1.1240874475253422}",False,0.7270010402996505,0.34515350432600644,0.15264011020896104,0.041237113402061855,4
Model 1 matched-case M0,HRD_total,candidate_mean_z,100,estimated,,15.539299581447072,3.9918719223581345,7.617559669287639,23.461039493606506,0.00018094527313371054,0.13391897849785217,4.321933558719023,6.962563093974639,24.116036068919506,0.0005091763163133208,0.33531213995106507,0.0006490250913366226,0.36594942068249275,0.00018094527313371384,{'candidate_mean_z': 1.0},False,0.7244016015037256,0.009041286476029883,0.48543584122219396,0.04,6
Model 2 matched-case M0,HRD_total,candidate_mean_z,97,estimated,,16.64060229434882,4.102101263606159,8.496901644278381,24.78430294441926,0.00010207316945493021,0.14764601186734871,4.407694688429053,7.890221990982923,25.390982597714718,0.0002782593341764007,0.3595474010536538,0.0002980741990141424,0.38424733163334857,0.00010207316945493207,{'candidate_mean_z': 1.0},False,0.7623966492243027,0.011843521687690773,0.5809707701277069,0.041237113402061855,5
Model 3 matched-case M0,HRD_total,candidate_mean_z,97,estimated,,16.64060229434882,4.102101263606159,8.496901644278381,24.78430294441926,0.00010207316945493021,0.14764601186734871,4.407694688429053,7.890221990982923,25.390982597714718,0.0002782593341764007,0.3595474010536538,0.0002980741990141424,0.38424733163334857,0.00010207316945493207,{'candidate_mean_z': 1.0},False,0.7623966492243027,0.011843521687690773,0.5809707701277069,0.041237113402061855,5
