ensembl_gene_id,gene_symbol,gene_type,gene_set,symbol_mapping_count,n_samples,zero_n,below_0_1_tpm_n,all_zero,near_zero_expression,near_zero_log_variance,mean_tpm,median_tpm,max_tpm,mean_log2_tpm1,sd_log2_tpm1,p05_log2_tpm1,p95_log2_tpm1
ENSG00000287300.1,AL080275.1,lncRNA,other,1,113,68,110,False,True,False,0.017983185840707964,0.0,0.1303,0.025166388203853047,0.03944403146991456,0.0,0.11364545492350349
ENSG00000287301.1,AC068075.2,lncRNA,other,1,113,72,83,False,False,False,0.0746716814159292,0.0,1.1219,0.09176839402874441,0.1750478152881455,0.0,0.4276184434578683
ENSG00000287302.1,AL133477.2,lncRNA,other,1,113,55,99,False,False,False,0.04584424778761063,0.0315,0.3656,0.062042711611366985,0.08540075630155376,0.0,0.25319003511198346
ENSG00000287303.1,AP006248.5,lncRNA,other,1,113,73,106,False,True,False,0.023987610619469024,0.0,0.2172,0.03298533209818139,0.05828778626312863,0.0,0.16307741000359186
ENSG00000287305.1,AC010969.3,lncRNA,other,1,113,24,61,False,False,False,0.1507442477876106,0.0866,1.6464,0.18370362961636408,0.2175065863731027,0.0,0.5442872143915353
ENSG00000287306.1,AC016821.1,lncRNA,other,1,113,2,19,False,False,False,0.44776902654867257,0.2659,3.5913,0.4675158431583744,0.40401824477937265,0.05224718377146899,1.2990757701338453
ENSG00000287307.1,AC005772.2,lncRNA,other,1,113,75,111,False,True,False,0.012067256637168141,0.0,0.2061,0.016756486062093484,0.0390745695223643,0.0,0.08528114432468402
ENSG00000287308.1,AC018802.2,lncRNA,other,1,113,110,110,False,True,False,0.009616814159292036,0.0,0.638,0.011414044555893222,0.0773986417693483,0.0,0.0
ENSG00000287309.1,AL583859.3,lncRNA,other,1,113,104,113,False,True,False,0.0022380530973451327,0.0,0.0392,0.0031829839563942038,0.010993252777443141,0.0,0.03573642520242426
ENSG00000287310.1,AL133445.3,lncRNA,other,1,113,23,61,False,False,False,0.12393274336283186,0.084,1.0216,0.15889301914988047,0.1600314783271185,0.0,0.3905600380749327
ENSG00000287311.1,AC140121.1,lncRNA,other,1,113,87,113,False,True,False,0.006328318584070796,0.0,0.0562,0.008980015550716773,0.018603133135754246,0.0,0.05235889075668715
ENSG00000287312.1,AC127526.4,lncRNA,other,1,113,46,84,False,False,False,0.0709141592920354,0.0438,0.6772,0.09302926611551869,0.1253432547040951,0.0,0.34834344532934697
ENSG00000287313.1,AC016995.1,lncRNA,other,1,113,6,11,False,False,False,3.4055991150442475,1.4536,49.0536,1.4650125233909976,1.1549667836724231,0.04041802027176618,3.6397378644574787
ENSG00000287314.1,AC090125.2,lncRNA,other,1,113,100,107,False,True,False,0.017241592920353984,0.0,0.5735,0.022039957526377753,0.08254101118938945,0.0,0.1194754914788461
ENSG00000287315.1,AL670729.3,lncRNA,other,1,113,0,6,False,False,False,2.1838469026548673,1.2977,19.4773,1.3394795858129738,0.8941847471415276,0.16372146962809314,2.9687882247333985
ENSG00000287316.1,AC007391.3,lncRNA,other,1,113,88,101,False,False,False,0.11291681415929203,0.0,7.0195,0.0797269701440187,0.33768500688775926,0.0,0.27368859257136713
ENSG00000287317.1,AC016769.6,lncRNA,other,1,113,61,84,False,False,False,0.1786132743362832,0.0,4.4308,0.16795531315402368,0.3734485037616564,0.0,0.7028008501189172
ENSG00000287318.1,AL353730.1,lncRNA,other,1,113,100,113,False,True,False,0.0029318584070796455,0.0,0.093,0.004132896680944208,0.01600572914733797,0.0,0.02062648236893263
ENSG00000287319.1,AC079822.1,lncRNA,other,1,113,35,86,False,False,False,0.1496991150442478,0.0452,4.0963,0.14940612303476167,0.3169913118146175,0.0,0.5624501858309586
ENSG00000287320.1,AC110790.1,lncRNA,other,1,113,101,107,False,True,False,0.035108849557522116,0.0,1.2488,0.037387388081130304,0.1691004812420229,0.0,0.14809244036697372
ENSG00000287321.1,AC026523.4,lncRNA,other,1,113,109,110,False,True,False,0.004830088495575222,0.0,0.249,0.006427008415194603,0.037775981494275315,0.0,0.0
ENSG00000287322.1,AC068189.2,lncRNA,other,1,113,19,52,False,False,False,0.1630637168141593,0.124,0.6649,0.2064127357031163,0.17930985028615332,0.0,0.5478628683036642
ENSG00000287323.1,AC022100.1,lncRNA,other,1,113,104,111,False,True,False,0.007963716814159291,0.0,0.1891,0.010852248039384269,0.04049333453555738,0.0,0.09989975391272785
ENSG00000287324.1,AL096828.6,lncRNA,other,1,113,103,108,False,True,False,0.010875221238938053,0.0,0.2913,0.014573358421953122,0.05308130356064245,0.0,0.12163967093303628
ENSG00000287325.1,AC138647.2,lncRNA,other,1,113,90,105,False,True,False,0.02693008849557522,0.0,0.4861,0.03484280910017113,0.09641533423687237,0.0,0.2355968352442712
ENSG00000287326.1,AL589787.1,lncRNA,other,1,113,28,94,False,False,False,0.06456902654867257,0.0375,1.0797,0.0837201366066471,0.12741903278693612,0.0,0.21794902293449858
ENSG00000287327.1,AL731769.1,lncRNA,other,1,113,104,105,False,True,False,0.07273893805309735,0.0,5.5647,0.051273745452699054,0.2802913142358624,0.0,0.19446303975009951
ENSG00000287328.1,AC135626.2,unprocessed_pseudogene,other,1,113,110,110,False,True,False,0.016090265486725663,0.0,0.8695,0.017837599038086665,0.1120559818397094,0.0,0.0
ENSG00000287329.1,FP326651.1,lncRNA,other,1,113,67,83,False,False,False,0.17863716814159292,0.0,3.2469,0.17879935163557434,0.36156601335645683,0.0,0.8553664935727201
ENSG00000287330.1,AL353697.1,lncRNA,other,1,113,36,78,False,False,False,0.10395398230088496,0.0469,0.9985,0.13058302224683085,0.17776690967260864,0.0,0.4958379710564411
ENSG00000287331.1,AC106045.1,lncRNA,other,1,113,33,34,False,False,False,2.2688982300884954,0.3698,54.0041,0.903784724572313,1.1544610946001717,0.0,3.2928566947442572
ENSG00000287332.1,AC103758.1,lncRNA,other,1,113,82,110,False,True,False,0.01035575221238938,0.0,0.1379,0.014473075642622832,0.03313901298418802,0.0,0.0734146371272989
ENSG00000287333.1,AL161447.2,lncRNA,other,1,113,63,84,False,False,False,0.0678566371681416,0.0,0.4507,0.0889398992004131,0.12645553692212097,0.0,0.36124959675274365
ENSG00000287334.1,AC102941.2,lncRNA,other,1,113,103,112,False,True,False,0.005828318584070796,0.0,0.2704,0.007889735393229307,0.036584755558441276,0.0,0.04809649133718532
ENSG00000287335.1,AL139351.3,lncRNA,other,1,113,2,13,False,False,False,0.5578973451327434,0.3053,9.1825,0.5269433340760598,0.4830234687520719,0.0530553015566022,1.370623462299855
ENSG00000287336.1,AL137157.1,lncRNA,other,1,113,7,34,False,False,False,0.43711415929203534,0.2184,10.2575,0.40696666035311474,0.4604003699325554,0.0,1.1677896513643484
ENSG00000287337.1,AC005962.2,lncRNA,other,1,113,1,7,False,False,False,0.5719575221238938,0.4279,2.189,0.5969930433765209,0.38613571793124163,0.09485284898156249,1.3755450048317184
ENSG00000287338.1,AL929091.1,lncRNA,other,1,113,1,29,False,False,False,0.5615610619469027,0.2258,15.8186,0.4445114648490738,0.563616898061222,0.05296284952442271,1.2122743241939575
ENSG00000287339.1,AC079949.6,lncRNA,other,1,113,102,109,False,True,False,0.013452212389380531,0.0,0.3317,0.01781814559020499,0.06290552914990899,0.0,0.12300391756149272
ENSG00000287340.1,AC007222.2,lncRNA,other,1,113,110,113,False,True,False,0.001417699115044248,0.0,0.066,0.0019911909742831237,0.012220511440173285,0.0,0.0
ENSG00000287342.1,AC188616.1,lncRNA,other,1,113,29,63,False,False,False,0.3536690265486726,0.072,8.7495,0.30830065886034075,0.4944181125589303,0.0,1.2492911779964844
ENSG00000287343.1,AL022397.1,lncRNA,other,1,113,101,112,False,True,False,0.005578761061946903,0.0,0.156,0.007734766650231984,0.028527490470542257,0.0,0.040906321862268565
ENSG00000287344.1,AC079304.1,lncRNA,other,1,113,109,111,False,True,False,0.0026,0.0,0.1308,0.0035621975432003974,0.02261754158064296,0.0,0.0
ENSG00000287345.1,AC183088.4,lncRNA,other,1,113,111,112,False,True,False,0.0015734513274336284,0.0,0.1668,0.0021092060937137683,0.0208827621137243,0.0,0.0
ENSG00000287346.1,AL132712.2,lncRNA,other,1,113,0,2,False,False,False,1.832338053097345,1.5437,5.7046,1.336096860827754,0.6904852765133415,0.24721442795497597,2.4750978881991377
ENSG00000287347.1,AL133405.2,lncRNA,other,1,113,63,85,False,False,False,0.14277168141592922,0.0,9.6326,0.1054935163490415,0.33476837687218375,0.0,0.32226533828780307
ENSG00000287348.1,AC099535.2,lncRNA,other,1,113,81,103,False,True,False,0.03549026548672567,0.0,0.6812,0.04518110458481563,0.11512485408933408,0.0,0.2280578567341479
ENSG00000287349.1,AC108477.2,lncRNA,other,1,113,6,8,False,False,False,1.9958610619469026,1.0023,20.0479,1.1905518696170967,0.9356807320150143,0.07332531702013764,3.084402271979895
ENSG00000287350.1,AL137786.2,lncRNA,other,1,113,105,113,False,True,False,0.0031601769911504423,0.0,0.08,0.004437006949366196,0.018044793540898548,0.0,0.04340044491721089
ENSG00000287351.1,AC092120.3,lncRNA,other,1,113,56,93,False,False,False,0.06059734513274336,0.0284,1.483,0.07428584106039933,0.15697744168467942,0.0,0.2040905166702364
