,0
MLH3,0.28418803418803423
RAD51B,0.25925925925925947
RAD51,0.24074074074074076
REC8,0.23789173789173795
SYCP3,0.23219373219373218
MSH5,0.22934472934472933
BRIP1,0.22863247863247887
PALB2,0.20370370370370366
SYCP2,0.20299145299145302
HORMAD2,0.19017094017094022
STAG3,0.19017094017094022
BRCA1,0.1844729344729347
BRCA2,0.1837606837606838
RAD51D,0.1659544159544161
RAD51C,0.16025641025641038
ATM,0.16025641025641021
SMC1A,0.15740740740740738
RAD21,0.14886039886039895
MSH4,0.14387464387464394
SMC1B,0.1267806267806268
CHEK2,0.12464387464387469
STAG2,0.12037037037037027
HORMAD1,0.10612535612535617
