orig.ident,exhaustion_score,cytotoxic_score,suppress_score,PDCD1,CD2,pdcd1_cd2_ratio
CID3586,0.1152116249781155,0.17154529865107776,0.061764380631681236,0.057678465439514374,0.4606140460160662,23129.2284166601
CID3838,0.3933856331864081,0.3283256242710793,0.21530079542289898,0.19770958333000008,1.5480198874323925,5943.923045669627
CID3921,0.24705949490849313,0.24654458337575388,0.0904645446315078,0.1351816443009722,0.7315799294300407,28936.97835059749
CID3941,0.09511126754468424,0.203211859621235,0.04597646387636846,0.034318407454645386,0.5227606143531187,13029.104002454957
CID3946,0.10005362225973764,0.1942808466059252,0.05744711063707699,0.09481773124812509,0.33046131206047547,22602.705411717336
CID3948,0.14753274570774874,0.14115341359453393,0.04073865477784911,0.07713228565966487,0.3713678168772551,41878.149665803656
CID3963,0.23834443049195098,0.5683209183822351,0.06828266673846857,0.15505913290416265,0.7484111674376475,27316.77791463949
CID4040,0.2764711285570461,0.3800137470363775,0.1607571554533686,0.15900523151544715,1.2267311325509618,12343.25776910889
CID4066,0.14015705449151913,0.19207846686112498,0.039174775989096675,0.061970740253296346,0.4080623930127908,26078.36883936245
CID4067,0.10073373084161094,0.19110976068406224,0.03146783730894107,0.03194602429771096,0.28793666804455276,25909.91686409707
CID4290A,0.06675365571877176,0.10384325295892739,0.03437565528179819,0.011509824031438206,0.19097177613588692,5115.486572384811
CID4398,0.0851050124779374,0.1825118181520427,0.018160111633900848,0.011883584129610634,0.776548279038981,3342.2663551717174
CID44041,0.05607193317379952,0.17423405304327383,0.03319078219839909,0.035269129143507445,0.7886720320855346,5604.996933985035
CID4461,0.037793662051818805,0.09681653919493248,0.008154672712469944,0.01019334089058743,0.1929070651397051,0.014705861136868241
CID4463,0.0921984043702639,0.22491877152705064,0.0302971198852151,0.06894726221136874,0.4904618878844134,28748.08039892288
CID4465,0.05561815587928751,0.09421930972231204,0.007869565847358338,0.02390162691586018,0.38152747890998684,5975.423970325701
CID4471,0.1239503740134385,0.2324498035396408,0.0918627572144058,0.06235272841582505,0.4779233595964474,24871.15698564787
CID4495,0.2592312234360961,0.3686253919736447,0.1148013148559182,0.1973925541294279,0.8816880027112086,24316.952763706086
CID44971,0.2593804855873362,0.4423694450818592,0.08558118504070651,0.29320400053404616,1.0594659680615621,25932.85599768063
CID44991,0.1391960939694103,0.22958415053497835,0.07197222035730276,0.12194084667168124,0.5377275108944962,31884.741276976587
CID4513,0.2157252469290987,0.6253139676724023,0.09909863165640262,0.09724233777459425,0.8785739121211821,12802.401010701293
CID4515,0.14242082640671677,0.4294307580038511,0.053969866892343094,0.07444570796796501,0.5309450737195973,18478.33961757067
CID45171,0.06513262343474528,0.38280817036655157,0.03893889385416839,0.0336479441364853,0.6456910665694813,8754.483340239347
CID4523,0.24946610197823002,0.9003966944773067,0.05855058533172915,0.07736183375369214,1.0018800476372305,7832.21843482724
CID4530N,0.09350793792146339,0.3797393857527916,0.03955316018677082,0.10050598511928244,0.6128108314060129,29874.15417308897
CID4535,0.11277789352183568,0.235431388632642,0.043291114616048,0.042174745878676916,0.5556285225881495,1750.394381500814
