gene,BRCA_mean,OV_mean,group
ATM,0.24242424242424224,0.3258620689655172,HR
BRCA1,0.267217630853994,0.4603448275862069,HR
BRCA2,0.1983471074380164,0.3879310344827586,HR
BRIP1,0.24517906336088127,0.3793103448275862,HR
CHEK2,0.19008264462809907,0.42931034482758623,HR
HORMAD1,0.2589531680440768,0.3586206896551724,Meiosis
HORMAD2,0.1955922865013773,0.43103448275862066,Meiosis
MLH3,0.20385674931129463,0.3275862068965517,Meiosis
MSH4,0.1845730027548208,0.2637931034482759,Meiosis
MSH5,0.16804407713498626,0.3689655172413793,Meiosis
PALB2,0.18732782369145995,0.3120689655172414,HR
RAD21,0.22314049586776835,0.42758620689655175,Cohesin
RAD51,0.1680440771349862,0.36379310344827587,HR
RAD51C,0.23691460055096394,0.3620689655172414,HR
REC8,0.18732782369145998,0.30689655172413793,Cohesin
SMC1A,0.15426997245179064,0.3758620689655172,Cohesin
SMC1B,0.21212121212121196,0.46551724137931033,Cohesin
STAG2,0.1460055096418733,0.3706896551724138,Cohesin
STAG3,0.1845730027548208,0.31724137931034485,Cohesin
SYCP2,0.20661157024793378,0.3810344827586207,Meiosis
SYCP3,0.1460055096418733,0.31896551724137934,Meiosis
