donor_sample_id,cell_class,subtype,n_cells,library_counts,HORMAD1,HORMAD2,STAG3,REC8,SMC1B,SYCP2,SYCP3,MSH4,MSH5,candidate_mean_z,HORMAD1_log2cpm1,HORMAD1_z,HORMAD2_log2cpm1,HORMAD2_z,STAG3_log2cpm1,STAG3_z,REC8_log2cpm1,REC8_z,SMC1B_log2cpm1,SMC1B_z,SYCP2_log2cpm1,SYCP2_z,SYCP3_log2cpm1,SYCP3_z,MSH4_log2cpm1,MSH4_z,MSH5_log2cpm1,MSH5_z,eligible
CID3586,immune,HER2+,5117.0,11952383.0,1.0,0.0,120.0,103.0,1.0,11.0,5.0,0.0,17.0,-0.010612813568068202,0.11591926821775622,-0.5065765850008304,0.0,-0.22755448660827807,3.4646472167632836,1.2707705215386675,3.265666185347722,0.8375445719454774,0.11591926821775622,-0.44920783464171654,0.9413456638294369,-0.9107285445303396,0.504189804118818,-0.3728346736390695,0.0,-0.33706024511619076,1.2763838143706123,0.600131953939666,True
CID3586,normal_epithelial,HER2+,698.0,5433586.0,0.0,0.0,6.0,34.0,0.0,66.0,1.0,1.0,5.0,0.1509060941625936,0.0,-0.5785266577233207,0.0,-0.22755448660827807,1.0733014057030708,-0.6233116407975868,2.8594483598741998,0.4396199163702103,0.0,-0.5716899148887299,3.7166259952045513,1.015958374314889,0.24371845502649986,-0.7369312088962526,0.24371845502649986,2.496828623504224,0.9412585422034758,0.143761842188187,True
CID3586,stromal,HER2+,363.0,975445.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,-0.5780058971205254,0.0,-0.5785266577233207,0.0,-0.22755448660827807,0.0,-1.4734275202952951,3.4920750954108586,1.0593312142500693,0.0,-0.5716899148887299,1.0180452450374986,-0.8574812822181901,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.0,-1.1380342554758518,True
CID3838,immune,HER2+,1893.0,27401354.0,8.0,3.0,204.0,151.0,4.0,28.0,33.0,0.0,14.0,0.00431746639934331,0.3695573565738571,-0.34914564894511496,0.1498883953889743,0.5082005493280286,3.078078217280041,0.9645858438367165,2.7028074759797716,0.2861769459637859,0.1965795845293236,-0.3639809048386041,1.015674052208625,-0.8591274388798441,1.1403337066711292,0.5163909231546416,0.0,-0.33706024511619076,0.5954307670206161,-0.3271828269093288,True
CID3838,stromal,HER2+,460.0,12931021.0,1.0,0.0,46.0,76.0,2.0,52.0,12.0,0.0,10.0,-0.0577609562418506,0.10746480534700364,-0.5118241959263716,0.0,-0.22755448660827807,2.188191070471255,0.2597445099455115,2.781850557930998,0.3636063180608493,0.2074766308367533,-0.35246691824428933,2.328071703909935,0.05198030013664391,0.9471057756058063,0.24628973751190653,0.0,-0.33706024511619076,0.8264644009945783,-0.012563625936436944,True
CID3921,immune,HER2+,2195.0,10352596.0,1.0,0.0,86.0,83.0,1.0,23.0,0.0,0.0,11.0,-0.09504768554987926,0.13302965562070476,-0.4959563176640878,0.0,-0.22755448660827807,3.218330956224457,1.0756740059188221,3.1726975613278303,0.7464739557082457,0.13302965562070476,-0.43112873635920673,1.687806477045077,-0.3925119636703664,0.0,-1.0776099260089413,0.0,-0.33706024511619076,1.0444188991533905,0.28424454385109005,True
CID3921,malignant_epithelial,HER2+,441.0,13515331.0,0.0,0.0,8.0,24.0,5.0,725.0,1.0,0.0,17.0,-0.12495744687946703,0.0,-0.5785266577233207,0.0,-0.22755448660827807,0.6707681904982314,-0.9421408871328627,1.4728834423548918,-0.918637483076636,0.4541234959849915,-0.09185605005789631,5.771959120482102,2.4428352925033376,0.10298062587563107,-0.9336597786679979,0.0,-0.33706024511619076,1.1749373944933785,0.4619832739646417,True
CID3921,stromal,HER2+,388.0,2732398.0,0.0,0.0,2.0,12.0,0.0,5.0,0.0,0.0,2.0,-0.46665379522808004,0.0,-0.5785266577233207,0.0,-0.22755448660827807,0.7924037697405022,-0.8457985765048237,2.4307527312717596,0.019676354909321726,0.0,-0.5716899148887299,1.5007482561713479,-0.5223736656200575,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.7924037697405022,-0.05894703949170074,True
CID3941,immune,ER+,358.0,724840.0,0.0,0.0,20.0,3.0,0.0,1.0,2.0,0.0,6.0,0.5256116957989365,0.0,-0.5785266577233207,0.0,-0.22755448660827807,4.837554581519353,2.3581913947964948,2.3614439789032713,-0.0482174195266794,0.0,-0.5716899148887299,1.25072806326081,-0.6959455493977272,1.9104370414714646,1.592869994530074,0.0,-0.33706024511619076,3.213765465686463,3.2384381461247855,True
CID3941,malignant_epithelial,ER+,196.0,1430433.0,1.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,1.0,-0.26044087044591546,0.7647614388476978,-0.10384594254589605,0.0,-0.22755448660827807,2.998356225778964,0.9014414833056205,0.0,-2.3614511651654997,0.0,-0.5716899148887299,4.4576383174844185,1.5303924413528445,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.7647614388476978,-0.09659007833816827,True
