dependency,depmap_column,N,beta,se,ci_low,ci_high,p,N_adjusted,beta_adjusted,se_adjusted,ci_low_adjusted,ci_high_adjusted,p_adjusted,fdr,fdr_adjusted,stronger_dependency_high_signature,annotation
DENND11,DENND11 (57189),25,0.14267777721238664,0.07286153643794553,-0.008047794646793616,0.2934033490715669,0.062443451237730034,25,0.23706151136377365,0.06173265741314596,0.10903581574450513,0.3650872069830422,0.0008900011390812863,0.9996683886512429,0.8051102663559447,False,
SDHAF3,SDHAF3 (57001),25,-0.13642274017099518,0.03994792716885317,-0.21906132372930884,-0.053784156612681516,0.0023706422541832743,25,-0.16088397814398062,0.04217651252760447,-0.2483527115730958,-0.07341524471486542,0.0009470684677731393,0.9996683886512429,0.8051102663559447,True,
PCMT1,PCMT1 (5110),25,-0.11298269755475528,0.0705931670850481,-0.25901578988882296,0.03305039477931242,0.12314039863553645,25,-0.21250198954121174,0.05574742980907435,-0.3281150828271205,-0.096888896255303,0.0009532245826519391,0.9996683886512429,0.8051102663559447,True,
NDUFAF8,NDUFAF8 (284184),25,-0.3599070231796986,0.0852386178471297,-0.5362365386907637,-0.18357750766863346,0.000323510044318566,25,-0.35877013211396863,0.09448877074121888,-0.5547278489735393,-0.16281241525439794,0.000988349817023705,0.9996683886512429,0.8051102663559447,True,
IL11,IL11 (3589),25,0.13148783837162864,0.039906069311732004,0.04893584438800451,0.21403983235525276,0.0031686181775082063,25,0.15829405092637033,0.04169099127615309,0.07183222694453521,0.24475587490820544,0.000988637299611006,0.9996683886512429,0.8051102663559447,False,
SPG21,SPG21 (51324),25,0.13389157062591295,0.04416824273370791,0.04252259915599259,0.2252605420958333,0.005935554115799174,25,0.16865216294356544,0.04504832352302684,0.07522765803493318,0.2620766678521977,0.0011242973167877716,0.9996683886512429,0.8251509864696398,False,
SNTG1,SNTG1 (54212),25,0.0915895466009568,0.029029552884376697,0.03153734109962894,0.15164175210228467,0.004428980894035117,25,0.1123017719377156,0.030082270221886198,0.04991496190313488,0.1746885819722963,0.0011536790394936279,0.9996683886512429,0.8251509864696398,False,
VWA7,VWA7 (80737),25,-0.14810037940324858,0.06319385179028235,-0.27882682184090907,-0.017373936965588088,0.028109773769162863,25,-0.2177655384063927,0.05856156834230134,-0.33921479780571184,-0.0963162790070736,0.0011951337032085742,0.9996683886512429,0.8251509864696398,True,
MPST,MPST (4357),25,-0.1212178392732955,0.03673648511812568,-0.19721304879295204,-0.045222629753638985,0.003132790515526297,25,-0.14400415723196872,0.03873405220273342,-0.22433366490600573,-0.0636746495579317,0.001197472965405818,0.9996683886512429,0.8251509864696398,True,
TBX21,TBX21 (30009),25,0.06981640578077128,0.033744586467295605,1.0410174756864121e-05,0.1396224013867857,0.04996858913842241,25,0.11033699433527347,0.02998808793781558,0.048145506403100495,0.17252848226744644,0.0013140497155834444,0.9996683886512429,0.8600842797013789,False,
DIAPH1,DIAPH1 (1729),25,-0.3279488384096522,0.08321812872936152,-0.5000986537304773,-0.15579902308882712,0.0006515092290621633,25,-0.3379527456107138,0.09208571326372851,-0.5289268262870919,-0.14697866493433576,0.0013441817275976005,0.9996683886512429,0.8600842797013789,True,
PFDN2,PFDN2 (5202),25,-0.4507502205198838,0.15045176488301176,-0.7619834089461022,-0.13951703209366534,0.006450939691763166,25,-0.5644209616818223,0.15453629727250529,-0.8849096266088796,-0.24393229675476497,0.0014026586190954953,0.9996683886512429,0.8665528213694791,True,
LIMCH1,LIMCH1 (22998),25,0.08543146172835063,0.036152280544066336,0.010644771446863585,0.1602181520098377,0.026953259031344358,25,0.12349644004881498,0.03413006326391106,0.05271502103992963,0.19427785905770034,0.0015224036860732257,0.9996683886512429,0.9091794813229304,False,
DNAJC16,DNAJC16 (23341),25,-0.12102456815453926,0.04617952695426106,-0.2165541980340226,-0.025494938275055903,0.015282505747297646,25,-0.1634783543463279,0.04551650543397836,-0.25787380911096236,-0.06908289958169345,0.0016239093873568447,0.9996683886512429,0.9193867091371488,True,
