model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,component,endpoint,gene,validation_type,fdr,events,hazard_ratio,hr_ci_low,hr_ci_high,ph_diagnostic_log_time_spearman_p
Exploratory individual gene CNA,altered_gene_fraction,MSH4_z,258,estimated,,-0.007099969339554052,0.01465968829310178,-0.035968910725640735,0.021768972046532633,0.6285733979374042,0.00091543130573013,0.0165864276804451,-0.03976318829330584,0.02556324961419774,0.6689680760262207,-0.0136768656198917,0.8269410225160488,-0.030256095348377268,0.6285733979374032,{'MSH4_z': 0.9999999999999996},False,0.30686730491583625,1.0489964418101744e-07,0.6597431423860369,0.015503875968992248,5.0,METABRIC,altered_gene_fraction,MSH4,exploratory gene; not weight optimization,0.8653891904958417,,,,,
Exploratory individual gene CNA,altered_gene_fraction,MSH5_z,258,estimated,,0.04791664422848484,0.014357388498110807,0.019643013935521945,0.07619027452144775,0.0009712045105810073,0.041695156115283405,0.01540394802080722,0.017582051593506082,0.07825123686346361,0.0020778961825331063,0.23730087911225575,0.00011897987160183383,0.20419391791942101,0.0009712045105810082,{'MSH5_z': 1.0},False,0.771535856441576,1.2923787532944778e-06,0.7166549093067212,0.015503875968992248,10.0,METABRIC,altered_gene_fraction,MSH5,exploratory gene; not weight optimization,0.002913613531743022,,,,,
,,,258,estimated,,-0.0185042819686485,0.08724324852704254,-0.18949790697592903,0.152489343038632,0.8320291184594816,,,,,,,,,,,,,,,,,METABRIC,OS,HORMAD1,exploratory gene; not weight optimization,0.8612362075627042,136.0,0.9816658711203085,0.8273744486102806,1.1647300495453323,0.5873107646907351
,,,258,estimated,,0.01496777449973124,0.08562763851494795,-0.15285931307078154,0.18279486207024404,0.8612362075627042,,,,,,,,,,,,,,,,,METABRIC,OS,HORMAD2,exploratory gene; not weight optimization,0.8612362075627042,136.0,1.0150803526164656,0.858250457939625,1.2005681007634863,0.8009580160271622
,,,258,estimated,,-0.07642558882073877,0.09002248317137848,-0.25286641363550366,0.10001523599402615,0.3959029228934795,,,,,,,,,,,,,,,,,METABRIC,OS,STAG3,exploratory gene; not weight optimization,0.5090180437201879,136.0,0.926421847866269,0.776571614273685,1.1051877565814288,0.4427861506862327
,,,258,estimated,,-0.1373358358340121,0.08940362079196049,-0.312563712673731,0.03789204100570681,0.12450580913071028,,,,,,,,,,,,,,,,,METABRIC,OS,REC8,exploratory gene; not weight optimization,0.4901850100539865,136.0,0.8716774364513679,0.7315690172436721,1.0386190985523187,0.20287723304304855
,,,258,estimated,,0.11768708800280799,0.08447815992097434,-0.04788706292251678,0.28326123892813276,0.16358753661881642,,,,,,,,,,,,,,,,,METABRIC,OS,SMC1B,exploratory gene; not weight optimization,0.4901850100539865,136.0,1.12489206406791,0.9532414373006042,1.3274518986357553,0.11630748674588974
,,,258,estimated,,-0.08666478353396494,0.08573485881285908,-0.2547020190267952,0.08137245195886532,0.3120898946090461,,,,,,,,,,,,,,,,,METABRIC,OS,SYCP2,exploratory gene; not weight optimization,0.5090180437201879,136.0,0.91698443239894,0.775147442740162,1.0847748478528774,0.3850429583708733
,,,258,estimated,,0.0789597110464472,0.08473357603427664,-0.0871150462620213,0.24503446835491569,0.35140960846068325,,,,,,,,,,,,,,,,,METABRIC,OS,SYCP3,exploratory gene; not weight optimization,0.5090180437201879,136.0,1.0821607220689533,0.9165716414259917,1.2776653514687168,0.17111965124956385
,,,258,estimated,,-0.11631405689518559,0.09439248702848614,-0.30131993188218265,0.06869181809181146,0.21786000446843845,,,,,,,,,,,,,,,,,METABRIC,OS,MSH4,exploratory gene; not weight optimization,0.4901850100539865,136.0,0.8901956073235646,0.739841036143724,1.0711060627680924,0.5603996914454135
,,,258,estimated,,0.16617257238236874,0.08209307325062061,0.005273105430943836,0.32707203933379364,0.042949861352830694,,,,,,,,,,,,,,,,,METABRIC,OS,MSH5,exploratory gene; not weight optimization,0.38654875217547624,136.0,1.18077685361647,1.0052870327206482,1.3869013850334266,0.5483557864462859
,,,258,estimated,,-0.12526269187734707,0.10142997161360008,-0.3240617831929232,0.07353639943822912,0.21684269748954843,,,,,,,,,,,,,,,,,METABRIC,RFS,HORMAD1,exploratory gene; not weight optimization,0.6083297535174481,106.0,0.8822651082630781,0.7232055590509393,1.0763077129550034,0.5036217258293116
,,,258,estimated,,0.00815743368202263,0.09575322059063676,-0.17951543007934456,0.1958302974433898,0.9321085403699707,,,,,,,,,,,,,,,,,METABRIC,RFS,HORMAD2,exploratory gene; not weight optimization,0.9321085403699707,106.0,1.008190796199968,0.8356750563112503,1.2163204751246586,0.9936610438963918
,,,258,estimated,,-0.21040765929394575,0.10359843238493201,-0.41345685562322043,-0.0073584629646710475,0.042255735729882074,,,,,,,,,,,,,,,,,METABRIC,RFS,STAG3,exploratory gene; not weight optimization,0.38030162156893865,106.0,0.8102538711135571,0.6613600677328548,0.9926685442394918,0.41621915208014426
,,,258,estimated,,-0.1678361129182225,0.10241765354212386,-0.36857102524188634,0.032898799405441354,0.10126699788074031,,,,,,,,,,,,,,,,,METABRIC,RFS,REC8,exploratory gene; not weight optimization,0.4557014904633314,106.0,0.8454923886109839,0.6917220781254327,1.0334459486046343,0.5578469216477382
,,,258,estimated,,0.10644277081841381,0.0965718093184111,-0.08283449736754152,0.29572003900436916,0.27036877934108805,,,,,,,,,,,,,,,,,METABRIC,RFS,SMC1B,exploratory gene; not weight optimization,0.6083297535174481,106.0,1.1123142677889233,0.9205034803631962,1.3440938103119815,0.8421042874010922
,,,258,estimated,,-0.054910406543126136,0.09731583877285165,-0.24564594566322195,0.13582513257696965,0.5725843921144229,,,,,,,,,,,,,,,,,METABRIC,RFS,SYCP2,exploratory gene; not weight optimization,0.7361799327185438,106.0,0.9465699506285945,0.7821991168947441,1.1454815686701785,0.6643009233744418
,,,258,estimated,,0.02511528623048175,0.0967441855988756,-0.16449983325697298,0.2147304057179365,0.7951683839810658,,,,,,,,,,,,,,,,,METABRIC,RFS,SYCP3,exploratory gene; not weight optimization,0.8945644319786991,106.0,1.02543333205368,0.8483178983954219,1.2395276823412915,0.7858458603248198
,,,258,estimated,,-0.0747004480306152,0.10918676202215442,-0.28870256918258363,0.13930167312135322,0.4938785733443709,,,,,,,,,,,,,,,,,METABRIC,RFS,MSH4,exploratory gene; not weight optimization,0.7361799327185438,106.0,0.9280214353449757,0.7492350178491786,1.149470812151914,0.946627915466145
,,,258,estimated,,0.06998782909281893,0.09689990916282883,-0.11993250297152834,0.2599081611571662,0.4701289268256157,,,,,,,,,,,,,,,,,METABRIC,RFS,MSH5,exploratory gene; not weight optimization,0.7361799327185438,106.0,1.072495127936127,0.8869803032315099,1.2968109835766046,0.20608605191000678
