model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,odds_ratio,or_ci_low,or_ci_high,predictor_sd_for_OR,r_squared,vif,component,endpoint,gene,fdr,events,hazard_ratio,hr_ci_low,hr_ci_high,ph_diagnostic_log_time_spearman_p
GSE25066 reduced-platform pCR,pCR,candidate_mean_z,112,estimated,,-0.014232178972276686,0.20075591266458173,-0.4077065374783254,0.37924217953377204,0.9434829539735161,0.9858686197252308,0.6651740538379168,1.4611768600279225,0.5343367333956638,3.5349158270858716e-05,{'candidate_mean_z': 1.0},GSE25066,pCR,reduced_platform_composite,0.9434829539735161,,,,,
,,,114,estimated,,0.08600144609055174,0.17325927156497484,-0.2535804861644436,0.42558337834554716,0.6196303682906579,,,,,,,GSE25066,DRFS,reduced_platform_composite,0.9434829539735161,37.0,1.0898079042649027,0.776017283756829,1.5304830099253672,0.04965547910807285
