gene,domain,endpoint,N,effect,effect_measure,ci_low,ci_high,p,fdr,support,note
MSH5,METABRIC,altered_gene_fraction,258.0,0.04791664422848484,linear regression coefficient per predictor unit,0.019643013935521945,0.07619027452144775,0.0009712045105810073,0.002913613531743022,supports,Gene-weighted CNA proxy is not HRD scar
MSH5,METABRIC,altered_gene_fraction_adjusted,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
MSH5,METABRIC,OS,258.0,0.16617257238236874,log hazard ratio per predictor SD,0.005273105430943836,0.32707203933379364,0.042949861352830694,0.38654875217547624,does_not_support,Gene-weighted CNA proxy is not HRD scar
MSH5,METABRIC,RFS,258.0,0.06998782909281893,log hazard ratio per predictor SD,-0.11993250297152834,0.2599081611571662,0.4701289268256157,0.7361799327185438,does_not_support,Gene-weighted CNA proxy is not HRD scar
MSH5,METABRIC,HRD_scar,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
MSH5,GSE25066,pCR,,,linear regression coefficient per predictor unit,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
MSH5,GSE25066,DRFS,,,log hazard ratio per predictor SD,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
MSH5,single_cell,malignant_vs_nonmalignant_combined,8.0,0.1783652521849394,paired mean difference in log2(CPM+1),-0.19576274538747618,0.5809376415390215,0.578125,0.625,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
MSH5,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
MSH5,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
