gene,domain,endpoint,N,effect,effect_measure,ci_low,ci_high,p,fdr,support,note
HORMAD1,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
HORMAD1,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
HORMAD2,TCGA_HRD,HRD_total,103.0,1.6242609360338516,linear regression coefficient per predictor unit,-2.558851133642418,5.807373005710121,0.442941814097597,0.442941814097597,does_not_support,Frozen TCGA discovery; not external replication
HORMAD2,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD2,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD2,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD2,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD2,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD2,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD2,TCGA_CIN,ploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD2,TCGA_CIN,WGD,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD2,METABRIC,altered_gene_fraction,258.0,-0.003862035924467915,linear regression coefficient per predictor unit,-0.032740288374623686,0.02501621652568785,0.7924841694891637,0.8915446906753092,does_not_support,Gene-weighted CNA proxy is not HRD scar
HORMAD2,METABRIC,altered_gene_fraction_adjusted,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
HORMAD2,METABRIC,OS,258.0,0.01496777449973124,log hazard ratio per predictor SD,-0.15285931307078154,0.18279486207024404,0.8612362075627042,0.8612362075627042,does_not_support,Gene-weighted CNA proxy is not HRD scar
