donor_sample_id,cell_class,subtype,n_cells,library_counts,HORMAD1,HORMAD2,STAG3,REC8,SMC1B,SYCP2,SYCP3,MSH4,MSH5
CID4495,immune,TNBC,6194,36579820.0,5.0,3.0,617.0,399.0,12.0,38.0,24.0,0.0,67.0
CID4495,malignant_epithelial,TNBC,1184,12747048.0,60.0,1.0,20.0,13.0,72.0,79.0,4.0,0.0,62.0
CID4495,stromal,TNBC,607,4515279.0,2.0,0.0,13.0,30.0,0.0,23.0,6.0,0.0,2.0
CID44971,immune,TNBC,5467,21159529.0,0.0,0.0,256.0,524.0,11.0,60.0,7.0,0.0,58.0
CID44971,malignant_epithelial,TNBC,894,17082834.0,13.0,0.0,51.0,17.0,32.0,599.0,8.0,1.0,56.0
CID44971,normal_epithelial,TNBC,735,9250581.0,0.0,0.0,5.0,13.0,0.0,102.0,3.0,0.0,13.0
CID44971,stromal,TNBC,890,5447505.0,0.0,0.0,3.0,18.0,0.0,12.0,1.0,1.0,0.0
CID44991,immune,TNBC,2649,13166717.0,1.0,0.0,29.0,50.0,4.0,19.0,5.0,0.0,15.0
CID44991,malignant_epithelial,TNBC,4018,39502275.0,39.0,0.0,48.0,82.0,26.0,826.0,38.0,1.0,98.0
CID44991,normal_epithelial,TNBC,24,119810.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CID44991,stromal,TNBC,332,1484094.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0
CID4513,immune,TNBC,4304,27593754.0,7.0,0.0,116.0,190.0,8.0,30.0,23.0,3.0,53.0
CID4513,malignant_epithelial,TNBC,1058,19077740.0,0.0,0.0,4.0,18.0,2.0,9.0,4.0,0.0,27.0
CID4513,stromal,TNBC,257,2941204.0,0.0,0.0,2.0,9.0,0.0,13.0,3.0,0.0,4.0
CID4515,immune,TNBC,1512,5132414.0,14.0,0.0,163.0,28.0,2.0,2.0,14.0,0.0,4.0
CID4515,malignant_epithelial,TNBC,2169,44986558.0,2351.0,3.0,168.0,86.0,542.0,121.0,27.0,0.0,19.0
CID4515,normal_epithelial,TNBC,36,331264.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0
CID4515,stromal,TNBC,432,2980267.0,3.0,0.0,12.0,15.0,2.0,10.0,2.0,1.0,0.0
CID45171,immune,HER2+,1574,3431135.0,0.0,0.0,30.0,25.0,1.0,6.0,13.0,0.0,0.0
CID45171,malignant_epithelial,HER2+,813,13919347.0,0.0,0.0,71.0,10.0,7.0,67.0,13.0,7.0,9.0
CID45171,stromal,HER2+,60,191167.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CID4523,immune,TNBC,532,1475493.0,0.0,0.0,2.0,8.0,1.0,3.0,1.0,0.0,1.0
CID4523,malignant_epithelial,TNBC,1167,23281838.0,0.0,0.0,70.0,16.0,9.0,36.0,9.0,0.0,5.0
CID4523,stromal,TNBC,55,670716.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
CID4530N,immune,ER+,443,1898528.0,0.0,0.0,7.0,9.0,0.0,6.0,3.0,0.0,1.0
CID4530N,malignant_epithelial,ER+,1715,28520366.0,0.0,0.0,85.0,90.0,0.0,188.0,2.0,12.0,9.0
CID4530N,normal_epithelial,ER+,398,8906495.0,0.0,2.0,10.0,25.0,0.0,83.0,11.0,0.0,1.0
CID4530N,stromal,ER+,1853,14361715.0,6.0,0.0,18.0,82.0,3.0,53.0,9.0,1.0,1.0
CID4535,immune,ER+,803,4803133.0,1.0,0.0,24.0,28.0,1.0,19.0,3.0,0.0,2.0
CID4535,malignant_epithelial,ER+,2223,44760176.0,0.0,0.0,77.0,76.0,3.0,1588.0,76.0,1.0,24.0
CID4535,normal_epithelial,ER+,22,396633.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0
CID4535,stromal,ER+,913,5154735.0,0.0,0.0,5.0,12.0,1.0,25.0,1.0,0.0,2.0
