patient_id,sample_id,expression_sample_id,predictor_role,n_genes_scored,predictor_status,candidate_mean_z,candidate_median_z,HORMAD1_z,STAG3_z,REC8_z
TCGA-AC-A2QH,TCGA-AC-A2QH-01,TCGA-AC-A2QH-01A|ff570f9a-a252-496d-a452-344063851a7b,expression_predictor,9,complete,-0.6763972934365973,-0.9826093210730068,-1.1779606123540096,-0.1191694696670965,-2.207408479230491
TCGA-AC-A2QJ,TCGA-AC-A2QJ-01,TCGA-AC-A2QJ-01A|a260d9e5-d88e-44eb-8431-4266c1baf68a,expression_predictor,9,complete,-1.0559775678463963,-1.0371764024721093,-1.3204975210462855,-0.8841582892849206,-0.28306104971153656
TCGA-AC-A6IW,TCGA-AC-A6IW-01,TCGA-AC-A6IW-01A|3208ca18-f70a-415e-8d10-5e9cb8a24b52,expression_predictor,9,complete,-0.26998703702243393,-0.33051070135864263,1.2286571812134846,-0.18204878240755526,0.9812853609165134
TCGA-AC-A7VC,TCGA-AC-A7VC-01,TCGA-AC-A7VC-01A|aedc877a-f4b9-4657-b5c9-b7768b5751c9,expression_predictor,9,complete,-0.5285942549325897,-0.4704503178291148,-0.5409481720653108,0.1272051000233967,-0.8359404525328634
TCGA-AN-A04D,TCGA-AN-A04D-01,TCGA-AN-A04D-01A|d141392c-757b-44f5-b531-0bcc136d8b17,expression_predictor,9,complete,0.2478053901652124,0.41181027230705036,1.1524010022304112,-0.5124497387985465,-0.9762740066103487
TCGA-AN-A0AL,TCGA-AN-A0AL-01,TCGA-AN-A0AL-01A|f52fccc4-745f-4e5d-bff8-8d2009b6588d,expression_predictor,9,complete,-0.47064743337905474,-0.41957001565816804,-1.3204975210462855,-0.6341685831884667,-0.41957001565816804
TCGA-AN-A0AR,TCGA-AN-A0AR-01,TCGA-AN-A0AR-01A|422ef158-74dd-4a5e-88a6-5b0da33004d1,expression_predictor,9,complete,0.21577822043917128,-0.22023596395372433,0.8343532313851479,2.473270548823694,-0.9215002019638883
TCGA-AN-A0AT,TCGA-AN-A0AT-01,TCGA-AN-A0AT-01A|4dd3d7e2-8a60-41e8-8812-a06f413afe2b,expression_predictor,9,complete,0.45673012435634736,0.5995373885497983,0.8058326996474733,0.9209236534013566,-0.3442087597537858
TCGA-AN-A0G0,TCGA-AN-A0G0-01,TCGA-AN-A0G0-01A|e94299a9-67bc-4c30-963c-1476fbb7d5ff,expression_predictor,9,complete,-0.09552675541213626,-0.25810117435604346,0.8358456121638673,-0.6899437184895164,-0.16471907371573694
TCGA-AN-A0XU,TCGA-AN-A0XU-01,TCGA-AN-A0XU-01A|5fbe4a11-de4d-418e-9bc3-75b768d4a665,expression_predictor,9,complete,0.4949375852522119,0.5131351879417454,0.5131351879417454,0.66204075869405,0.47629400960622903
TCGA-AO-A03U,TCGA-AO-A03U-01,TCGA-AO-A03U-01B|7806768a-e8c6-48b0-a241-c036c230e78b,expression_predictor,9,complete,-0.849197563132667,-0.6891041658274198,-1.2280237219180778,-0.4342994663207181,-0.38390880086794427
TCGA-AO-A0J4,TCGA-AO-A0J4-01,TCGA-AO-A0J4-01A|7fa9ad2e-67a7-449f-be73-9e18dc46b529,expression_predictor,9,complete,0.010165847040646932,0.021060582190980552,1.3347860406482512,-0.668823771220554,0.035613140958531055
TCGA-AO-A0J6,TCGA-AO-A0J6-01,TCGA-AO-A0J6-01A|0f0b1a31-1f88-40e0-bd25-320046de4970,expression_predictor,9,complete,-0.048457592673051636,-0.2289201752463387,0.7601391477069788,-0.10404239476518634,-0.40879843979635605
TCGA-AO-A124,TCGA-AO-A124-01,TCGA-AO-A124-01A|a63cca36-139d-4054-9d99-9b04ddae7ec2,expression_predictor,9,complete,0.7036627974704551,0.6860364766956213,1.1184800020086147,2.856373195263361,-0.8257362872818621
TCGA-AO-A128,TCGA-AO-A128-01,TCGA-AO-A128-01A-11R-A10J-07,expression_predictor,9,complete,0.16263446805198828,0.01989605961653488,-0.4848432161549121,0.3512661494916086,1.6437359400679545
