Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",2/36,0.0007782330418291474,0.0043301684635108,0,0,55.86274509803921,399.8925970911249,CHEK2;ATM
GO_Biological_Process_2023,Mitotic G2/M Transition Checkpoint (GO:0044818),2/46,0.0012696245803666,0.0068877133484892,0,0,43.14502164502164,287.7356174990326,ATM;BRCA1
GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),2/47,0.0013251264265467,0.0070134740136741,0,0,42.18412698412698,279.52246208031653,CHEK2;ATM
GO_Biological_Process_2023,Cellular Response To Alcohol (GO:0097306),2/53,0.0016821355801761,0.0086910338309099,0,0,37.21008403361345,237.6865231384464,RAD51;BRCA1
GO_Biological_Process_2023,Signal Transduction In Response To DNA Damage (GO:0042770),2/57,0.0019428161280176,0.0098044441809263,0,0,34.4969696969697,215.38585768961525,CHEK2;ATM
GO_Biological_Process_2023,Telomere Organization (GO:0032200),2/63,0.0023674565400689,0.0114164015376659,0,0,31.094457455113197,187.99519580896612,RAD51D;ATM
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),2/63,0.0023674565400689,0.0114164015376659,0,0,31.094457455113197,187.99519580896612,RAD51B;RAD51C
GO_Biological_Process_2023,Cellular Component Assembly (GO:0022607),3/260,0.0031728272898223,0.0149674678672055,0,0,11.509727626459144,66.21698461014897,SYCP2;STAG3;HORMAD1
GO_Biological_Process_2023,Positive Regulation Of DNA Metabolic Process (GO:0051054),2/108,0.0067878351896843,0.0281730212528146,0,0,17.853548966756513,89.13604298019607,RAD51;BRCA1
GO_Biological_Process_2023,Protein Ubiquitination (GO:0016567),3/434,0.0130185136936503,0.04651374553255,0,0,6.802552204176334,29.532483164915035,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Cellular Response To Organic Cyclic Compound (GO:0071407),2/152,0.0130752925229748,0.04651374553255,0,0,12.588571428571427,54.59702322961106,RAD51;BRCA1
GO_Biological_Process_2023,Protein Autophosphorylation (GO:0046777),2/162,0.0147555359305578,0.0500304890145478,0,0,11.795833333333333,49.73284876426581,CHEK2;ATM
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),3/557,0.0251486261743948,0.0642029632922787,0,0,5.258935018050542,19.368405290986598,CHEK2;BRCA1;BRCA2
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),4/1127,0.0377011661238818,0.0718306976471097,0,0,3.534517504803862,11.58637548529706,CHEK2;ATM;BRCA1;BRCA2
GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),2/297,0.0453000591617324,0.0788144781405391,0,0,6.354156577885392,19.662600381866767,CHEK2;ATM
GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),2/298,0.0455747204795115,0.0788144781405391,0,0,6.332368082368083,19.5568988305819,ATM;BRCA1
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),4/1243,0.0510812569889486,0.0827211400492675,0,0,3.183891933222888,9.46996961829389,CHEK2;ATM;BRCA1;BRCA2
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),2/364,0.0650195477342399,0.0976913121782243,0,0,5.160484083136017,14.103950402612664,ATM;BRCA1
GO_Biological_Process_2023,Phosphorylation (GO:0016310),2/429,0.0864165525845918,0.1186860247522559,0,0,4.360432697669232,10.676851030515811,CHEK2;ATM
GO_Biological_Process_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),2/452,0.0944465420828477,0.1249689001949875,0,0,4.132698412698413,9.752016457661547,CHEK2;BRCA2
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),2/480,0.1045087722787258,0.1337951218463673,0,0,3.885036859932257,8.774294620402397,ATM;BRCA1
GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),2/500,0.1118743550413766,0.1403279482310909,0,0,3.7251864601262192,8.15956969937397,CHEK2;ATM
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),4/1922,0.174302673023963,0.1972550310043805,0,0,1.9822183195214316,3.4628600616873366,CHEK2;RAD21;BRCA1;BRCA2
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),2/711,0.1962685489434931,0.2206750006255855,0,0,2.5882194908993217,4.214323799516583,CHEK2;ATM
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),2/938,0.2938068620443423,0.309495577978749,0,0,1.9374236874236876,2.37301980733484,ATM;BRCA1
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),3/2028,0.4171078760583281,0.4249408878152921,0,0,1.3297777777777775,1.1627715120030206,RAD21;ATM;BRCA1
