row_index,fitted,residual,cooks_distance,leverage,influential,outcome,PD_ID,RBA,F_expression_column
0,0.7756397580526971,-0.7169866928551036,0.018350741111778986,0.013629819639334075,True,HRDetect_probability,PD31028a,S000156.l.r.m3.c.lib.g.k2.a.t,F573
1,0.6201900035983462,0.37979881797314385,0.0016607363275222,0.004477897047614794,False,HRDetect_probability,PD31029a,S000160.l.r.m.c.lib.g.k2.a.t,F16
2,0.7632343054116543,-0.7625336173046073,0.018686802397528807,0.012303892014466505,True,HRDetect_probability,PD31030a,S000262.l.r.m.c.lib.g.k2.a.t,F2677
3,0.6052092753414661,0.11241606320542696,0.00014467379591650211,0.004452825161372339,False,HRDetect_probability,PD31031a,S000285.l.r.m.c.lib.g.k2.a.t,F588
4,0.30547586455430753,-0.30511181623371003,0.009082653016580445,0.035610527983575016,False,HRDetect_probability,PD31032a,S000294.l.r.m.c.lib.g.k2.a.t,F2681
5,0.3519568010596234,-0.3446586674009139,0.008574505939781502,0.02682802525387395,False,HRDetect_probability,PD31033a,S000303.l.r.m.c.lib.g.k2.a.t,F584
6,0.5952720842414193,-0.5695656279727521,0.0037697634761595824,0.004519298937619093,False,HRDetect_probability,PD31037a,S000352.l.r.m2.c.lib.g.k2.a.t,F1425
7,0.5316094995896545,-0.531226985645948,0.004748517637528051,0.0065177373660465525,False,HRDetect_probability,PD31040a,S000381.l.r.m2.c.lib.g.k2.a.t,F2695
8,0.7721925258589728,0.2276742574420112,0.0017975645719394363,0.013251005969511481,False,HRDetect_probability,PD31041a,S000399.l.r.m3.c.lib.g.k2.a.t,F2699
9,0.4806201772774281,0.5191685368680938,0.007065061124583506,0.010080402199954385,False,HRDetect_probability,PD31042a,S000408.l.r.m2.c.lib.g.k2.a.t,F603
10,0.7640469057386559,0.2359480377700981,0.001801637526001377,0.012387583210272016,False,HRDetect_probability,PD31043a,S000516.l.r.m.c.lib.g.k2.a.t,F2718
11,0.6813456042138649,0.3186527515031081,0.0016091119484549494,0.006142958405925384,False,HRDetect_probability,PD31044a,S000517.l.r.m.c.lib.g.k2.a.t,F615
12,0.5697395576861377,0.42898194514160226,0.002365377041215503,0.004994045911589021,False,HRDetect_probability,PD31045a,S000518.l.r.m.c.lib.g.k2.a.t,F621
13,0.7117052654120911,-0.6545517900130525,0.008764737552358938,0.00790203281145379,False,HRDetect_probability,PD31046a,S000581.l.r.m.c.lib.g.k2.a.t,F48
14,0.5454254635861536,-0.5332060591323879,0.004290237895897916,0.0058529032155620045,False,HRDetect_probability,PD31047a,S000590.l.r.m2.c.lib.g.k2.a.t,F1438
15,0.6647394797582351,0.33522773333406586,0.001575588457233439,0.005442538277109114,False,HRDetect_probability,PD31051a,S000628.l.r.m.c.lib.g2.k2.a.t,F73
16,0.44027266366216933,0.04449987433238467,7.339094254923201e-05,0.014136354348875613,False,HRDetect_probability,PD31053a,S000689.l.r.m.c.lib.g2.k2.a.t,F49
17,0.6049765682704062,0.3948427526117707,0.0017850897897069694,0.004453623894533397,False,HRDetect_probability,PD31056a,S000800.l.r.m.c.lib.g.k2.a.t,F96
18,0.8104680358785238,0.18695774338602422,0.0016533406272846375,0.01790447972425093,False,HRDetect_probability,PD31057a,S000802.l.r.m.c.lib.g.k2.a.t,F1473
19,0.6002330587661513,-0.5827457643829761,0.003909713375525878,0.004477827567921216,False,HRDetect_probability,PD31058a,S000814.l.r.m.c.lib.g.k2.a.t,F1469
