model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,fdr,family,odds_ratio,or_ci_low,or_ci_high,predictor_sd_for_OR,HRD_events,AUC_apparent,AUC_note
Secondary genomic exposure,SBS3,candidate_mean_z,225,estimated,,0.1030609944246528,0.023547784254546615,0.05665634237563341,0.1494656464736722,1.8517680925997403e-05,0.07910330217703654,0.02444977171863527,0.05487883269696673,0.15124315615233888,3.626274105256489e-05,0.2916803624104509,8.669844186922621e-06,0.2812530927421717,1.8517680925997295e-05,{'candidate_mean_z': 1.0000000000000002},False,0.4245061766656807,6.272602560635446e-05,0.0003227820304743784,0.017777777777777778,4.0,5.555304277799221e-05,three secondary genomic exposures,,,,,,,
Secondary genomic exposure,SV3,candidate_mean_z,201,estimated,,0.11224271279418654,0.04127399894952481,0.030852180458328438,0.19363324513004465,0.0071171820688960665,0.03583134764106144,0.03886288116680379,0.035606799948921256,0.18887862563945185,0.004303704460087681,0.22166900979316811,0.001564002026293689,0.18929169987366343,0.007117182068896146,{'candidate_mean_z': 1.0000000000000002},False,0.020322707752871223,1.544728036594469e-11,0.009448716068835778,0.01990049751243781,8.0,0.0106757731033441,three secondary genomic exposures,,,,,,,
Secondary genomic exposure,delMH,candidate_mean_z,225,estimated,,0.04982943435353818,0.02439858610854362,0.0017481420070450046,0.09791072670003134,0.04229764378883189,0.018360718021675493,0.025500531185568543,-0.00042341593334160876,0.10008228464041796,0.05194493441250765,0.15639880203978984,0.018906008386537807,0.13550172700624757,0.04229764378883198,{'candidate_mean_z': 1.0000000000000002},False,0.8436696038249722,1.7064443768162284e-07,0.00025352163454843863,0.017777777777777778,8.0,0.04229764378883189,three secondary genomic exposures,,,,,,,
Published HRD/HRP logistic,HRDetect_binary,candidate_mean_z,225,estimated,,0.5422849564962022,0.1507754935344985,0.24677041941733335,0.8377994935750711,0.00032235588610876674,0.04690729885524314,,,,,,,,,{'candidate_mean_z': 1.0000000000000002},,,,,,,0.0006447117722175335,two published binary classifications,1.7199323462844112,1.2798852422464153,2.3112754004439613,0.5258506471410739,133.0,0.6550343249427918,"Apparent in-sample discrimination, not held-out performance"
Published HRD/HRP logistic,scarHRD_binary,candidate_mean_z,225,estimated,,0.4969435053101515,0.15210138114833563,0.19883027626061417,0.7950567343596888,0.0010862228332128032,0.03938622235864542,,,,,,,,,{'candidate_mean_z': 1.0000000000000002},,,,,,,0.0010862228332128032,two published binary classifications,1.6436896563596277,1.2199748896272655,2.2145666352600717,0.5258506471410739,143.0,0.6499232474842231,"Apparent in-sample discrimination, not held-out performance"
