status,seed,iterations,observed_beta,observed_abs_t,empirical_p,outcome,N
estimated,20260919,10000,0.2188371795401042,3.896730466918545,0.00019998000199980003,HRDetect_probability,225
estimated,20260920,10000,13.993421847893854,4.494281195507747,9.999000099990002e-05,scarHRD_score,225
