F_expression_column,candidate_mean_z,candidate_median_z,HORMAD1_z,HORMAD2_z,STAG3_z,REC8_z,SMC1B_z,SYCP2_z,SYCP3_z,MSH4_z,MSH5_z,proliferation_mean_z,previous_proliferation_mean_z,BRCA1_comparison_z,BRCA2_comparison_z,PALB2_comparison_z,RAD51_comparison_z,RAD51B_comparison_z,RAD51C_comparison_z,RAD51D_comparison_z,BRIP1_comparison_z,ATM_comparison_z,CHEK2_comparison_z,STAG2_comparison_z,RAD21_comparison_z,SMC1A_comparison_z,PD_ID,RBA
F573,0.7559657542006595,0.648702072800214,0.6654109164595817,5.792500505983042,-0.6567051634039213,0.648702072800214,-0.9112419938990706,1.0193343543161928,-1.2754952147946232,1.0995483099835917,0.42163800036092797,1.0408186787212592,0.9448118527325821,0.8140823142823178,0.9617165333395825,0.7213327641368411,-0.09508299426310397,-0.43174870404829435,1.981987814243097,0.6963344828326217,2.289912115456739,-0.7356751447505762,0.419944514647321,0.6602666257799005,-0.12999823462907947,0.315964750068647,PD31028a,S000156.l.r.m3.c.lib.g.k2.a.t
F16,0.04562140238148834,-0.3779664036242546,1.2514471062810708,-0.40814267607370014,-0.483159004911996,0.6413161721223117,-0.4890519996327154,-1.4330662075787732,1.4828637835741771,-0.3779664036242546,0.22635185127727472,0.9630194019123187,0.7557496705208403,-1.0110909511038857,0.7613452277766068,0.006574655634465822,0.4029009665598654,-0.2889810349326023,1.9216806836644353,-0.45890548249040514,1.2591366700723157,-0.4564334331939569,1.456510460535331,0.44191031995190116,0.7473867093383277,1.7651664169521502,PD31029a,S000160.l.r.m.c.lib.g.k2.a.t
F2677,0.699277705729584,0.6027324980126839,0.13410983420280184,-0.40814267607370014,-0.3049617901725109,0.6027324980126839,0.7096520130412715,1.1695052829955042,3.079968170268719,0.2605925537785192,1.0500434655129682,-0.28945405397484564,-0.45927944818343425,1.1139404645741493,0.40028750999471263,0.15011030682648194,0.18862665676560797,-0.0048851630563094784,-0.12438514420528227,0.6638546831609969,0.4974525636786513,-0.19382664216854723,-0.5627142880099986,-0.19042589146369168,-0.4115049624157703,-0.42816139484704185,PD31030a,S000262.l.r.m.c.lib.g.k2.a.t
F588,-0.02283464465934228,0.14975177476073442,-0.4192941418322531,-0.40814267607370014,-1.4955393732910434,1.3291410326436448,0.17627039048491,0.8952087590547655,0.35364912123956965,-0.7865566889207083,0.14975177476073442,0.701065684272174,0.837897880142453,0.6701541843178904,-0.7227436492939178,0.7540022243731568,0.36541342128127585,-0.07128559286375816,0.025774424254784746,-1.3524272886231294,-0.24534981779085752,-1.2956367878360482,-0.7559688697658612,0.3861842632412238,0.45753096340525123,-0.446519426710377,PD31031a,S000285.l.r.m.c.lib.g.k2.a.t
F2681,-1.3924986634383316,-1.4170278533258562,-1.4170278533258562,-0.40814267607370014,-1.8397749743829526,-3.0308005109566993,-1.702408967261186,-1.7961510071155657,-0.23631401425585055,-0.7865566889207083,-1.315311278652466,-2.504206546046006,-2.888694443695878,-0.5558623952977982,-2.258319933042857,-3.3241144736123323,-3.026351695250573,-0.9782259673838852,-1.3973672360751235,-1.0239699993116178,-2.7669305200028287,-1.3797884447410027,-2.832284210368071,-0.9000343166085254,-1.6162178176984834,-0.8563478354520048,PD31032a,S000294.l.r.m.c.lib.g.k2.a.t
F584,-1.1800990309672976,-1.1762564227340178,-1.1762564227340178,-0.40814267607370014,-0.8597432068547218,-2.613521656506911,-1.292396156542838,-2.067565934499194,-0.5868040030393787,-0.23588311812740032,-1.3805781043275174,-1.847327386713686,-2.1846020213670703,-1.2928438574171464,-1.9389661826419295,-1.7842383617675035,-1.6878650725423072,-0.9046823627451323,-0.754784277717128,-1.3393172470898431,-2.338365255867903,-1.2992070315726414,-2.427777969616024,-1.4168987163277516,-1.3840249348772296,-1.3453223730341406,PD31033a,S000303.l.r.m.c.lib.g.k2.a.t
F1425,-0.06824370687139528,0.02698008379243422,-1.152930876561833,0.9815781362371916,1.069058574130728,0.4272202373257415,0.6225529548771622,-1.4350070143953955,0.02698008379243422,-0.7865566889207083,-0.3670887683278781,-0.35316776920812243,-0.2394627140515422,0.3664587950539509,-0.5771502198042083,-0.02467250086592338,0.3442767093995852,-0.21149122040767793,-0.43412451738155716,-0.9329054505998188,-1.1565128410929666,0.2744596887395038,0.646528693473272,-0.13399480278791073,-0.35617655841761836,-0.17723905429844866,PD31037a,S000352.l.r.m2.c.lib.g.k2.a.t
F2695,-0.3591567262475102,-0.33401930653849754,-1.4170278533258562,-0.40814267607370014,-1.2698338337081552,-0.0792975783852125,0.6161928498989939,-1.3962999262043945,-0.33401930653849754,0.028181725909699643,1.0278360621995306,0.9889208141302818,1.2442248428047062,1.2071545267633563,0.5505666238850409,0.5893985901542858,0.36316932198276003,0.8315209844598637,0.7958533132893152,2.4702903841350596,0.8753054191442992,-2.9355037033697564,-0.285827978606712,1.7098966862384164,0.08356601021113963,0.3453887520421731,PD31040a,S000381.l.r.m2.c.lib.g.k2.a.t
F2699,0.7402132563802759,0.4143561149647833,1.278789818617779,0.6720907672863973,-0.5320532578988992,-0.13553117727839045,0.4143561149647833,-0.03091643107340753,0.1548669327188936,3.2504240942868226,1.5898924457985042,0.8144067815762199,0.6951174817076076,0.5502726481179014,-0.16947536670540414,0.6034072636218069,1.494048966492818,1.6866199552844585,-4.449750542274878,0.8314191731834061,1.0248301959619166,0.47107371656492675,0.9594456732949531,0.632805004820892,0.8506918093331934,0.9117934853623031,PD31041a,S000399.l.r.m3.c.lib.g.k2.a.t
F603,-0.592157911966421,-0.6286994288778783,0.5876591786756417,-0.40814267607370014,-0.950518954678611,-0.6286994288778783,-1.843401988814559,-1.0628111817545445,-0.29048861616373506,1.2600904523955045,-1.9931079924059067,-1.6612953600649822,-1.773537365348995,-0.9375974205792504,-0.6944653604100474,-4.189838666639823,-2.899275832659686,0.7347318815608315,-1.1522135246939127,-0.5629582012185769,-1.0163053674815097,-1.3050078652405368,-1.9765479352679234,-0.9241068163860529,-0.6494102034317811,-1.4883085272182284,PD31042a,S000408.l.r.m2.c.lib.g.k2.a.t
