gene,mean,variance,fraction_FPKM_ge_0_1
5_8S_rRNA,-3.2526826939607822,0.26714382223829275,0.017777777777777778
5S_rRNA,1.044102814099292,13.445910624502911,0.6044444444444445
6M1-18,-3.3178280844743777,0.0037654591265702778,0.0
7M1-2,-3.321928094887349,1.232595164407831e-28,0.0
7SK,0.6068442609816598,1.3560745790183781,0.9822222222222222
A1BG,1.7487605060551108,0.7209416808686832,1.0
A1BG-AS1,-0.20882998459709312,0.4317638376179007,1.0
A1CF,-3.2433152056053944,0.014463518772500223,0.0044444444444444444
A2M,7.2940609246939445,1.398001649069339,1.0
A2M-AS1,-1.5790755491442108,0.49746494734087876,0.8666666666666667
A2ML1,1.343736119543383,5.733626514926222,0.9288888888888889
A2MP1,-2.8416663471583745,0.48120485930304535,0.1511111111111111
A3GALT2,-2.7049653083590135,0.6653671137261995,0.24444444444444444
A4GALT,3.0667001688425466,0.7512347100420722,1.0
A4GNT,-3.1581938501329203,0.06700880237864101,0.0044444444444444444
A-589H1.1,-0.5667591796817566,0.9894899532026643,0.9466666666666667
AA06,-3.318379109442457,0.002821346682124171,0.0
AAAS,3.7990401753144982,0.16394076345061717,1.0
AACS,3.748680466290408,1.3440744671659794,1.0
AACSP1,-2.8618481947021985,0.592615032578878,0.16
AADAC,-2.5273580451365696,1.2473102832696743,0.28444444444444444
AADACL2,-3.223953724474595,0.13602740022357868,0.02666666666666667
AADACL3,-3.2355270615867116,0.1800580516870962,0.013333333333333334
AADACL4,-3.2987276498704103,0.011636221462004818,0.0
AADAT,1.193140104074523,1.910970239424961,1.0
AAED1,2.9688548494060782,0.2729869536657678,1.0
AAGAB,3.7465086818318025,0.21660662495181432,1.0
AAK1,2.7092194365733975,0.2482174114839176,1.0
AAMDC,5.088584352520267,0.4311878864413406,1.0
AAMP,5.7058620809941605,0.1672009977641722,1.0
AANAT,-2.532399771366889,0.4083803689748316,0.3333333333333333
AAR2,3.9866217674598237,0.1326938084571259,1.0
AARD,3.399677990070495,7.934423046021169,0.96
AARS,5.424188815750743,0.3027658446597186,1.0
AARS2,2.0863556324542656,0.2111310685343459,1.0
AARSD1,3.442271702667503,0.18664600873206819,1.0
AASDH,1.6702811761763467,0.22358811488001956,1.0
AASDHPPT,3.354511073790216,0.19802602547850628,1.0
AASS,-0.2843920149177059,0.5270453044412381,0.9955555555555555
AATF,4.417171586779473,0.2078225058371457,1.0
AATK,-0.38395998179234453,0.766335144442232,1.0
AATK-AS1,-3.2692426244211643,0.02161585013959125,0.0
AB000466,-1.651214623915782,0.6044751567127497,0.8266666666666667
AB052595,-3.2792565894299246,0.0811949532636024,0.022222222222222223
AB056456,4.616666443751492,1.1536143719910057,1.0
AB059364,-3.3187604039108383,0.002247675611477345,0.0
AB059366,-3.3155913559174066,0.004830107910525907,0.0
AB059369,-3.2715565199329193,0.05797705872754897,0.035555555555555556
AB059370,-3.1430622565572173,0.4813367355174953,0.06666666666666667
AB059373,-3.2081738666193163,0.2040447628502809,0.06222222222222222
AB062081,-3.079289244221517,0.31667232948549606,0.15555555555555556
AB073349,-2.27383666358067,1.101398399670813,0.40444444444444444
AB074160,-3.165549003838183,0.1901885297607847,0.04
AB074162,-2.623730895871764,0.38967771991871186,0.3111111111111111
AB074188,-2.6882792255817063,0.50932343204376,0.24444444444444444
AB075489,0.4070734693394695,1.7124956680051227,0.9911111111111112
AB075492,-2.207680151472851,0.24419655905719972,0.5733333333333334
AB107049,-3.321928094887349,1.232595164407831e-28,0.0
AB115152,-3.315948504973218,0.008009231001223341,0.0044444444444444444
AB115160,-3.321928094887349,1.232595164407831e-28,0.0
AB115199,-3.3016328846157945,0.019652401254810502,0.0044444444444444444
AB115202,-3.2967385511962255,0.030899944717077625,0.008888888888888889
AB115213,-3.3185936553536153,0.0024905410889244535,0.0
AB115252,-3.3168909115846636,0.005683600299966964,0.0044444444444444444
AB115272,-3.2920566575805963,0.021788026752827996,0.0
AB115299,-3.301848871102977,0.0184162943173769,0.008888888888888889
AB120679,-3.321928094887349,1.232595164407831e-28,0.0
AB120691,-3.321928094887349,1.232595164407831e-28,0.0
AB120697,-3.321928094887349,1.232595164407831e-28,0.0
AB120698,-3.2778099982865814,0.08668328659333466,0.022222222222222223
AB120776,-3.2872783446425364,0.04806639304108498,0.017777777777777778
AB120919,-3.303548699184108,0.02632928021442568,0.013333333333333334
AB120921,-3.310349715211564,0.009939226681450836,0.0
AB120923,-3.271510344016612,0.07389128611062397,0.035555555555555556
AB120927,-3.2726704019422277,0.07108039543175156,0.03111111111111111
AB120928,-3.1836727667282148,0.14949663746645822,0.05333333333333334
AB120929,-3.2882193750527766,0.044436979872803574,0.017777777777777778
AB120930,-3.1361512480567293,0.244438605256362,0.1111111111111111
AB120932,-3.2627110964323767,0.1192373485841939,0.022222222222222223
AB120937,-3.317961812377076,0.0035238329170902906,0.0
AB162189,-3.3185468900489346,0.002560890339686823,0.0
AB162190,-3.3178941879254067,0.0036450188045841453,0.0
AB162191,-3.321928094887349,1.232595164407831e-28,0.0
AB167280,-3.321928094887349,1.232595164407831e-28,0.0
AB167284,-3.086626130132547,0.5405415262818055,0.09777777777777778
AB167308,-3.305693241084991,0.059039787068406846,0.0044444444444444444
AB167320,-3.321928094887349,1.232595164407831e-28,0.0
AB167325,-1.4901700880732007,4.200310125815402,0.5377777777777778
AB167330,-3.1739942715728464,0.38006633002888107,0.057777777777777775
AB167336,-3.321928094887349,1.232595164407831e-28,0.0
AB167339,-3.321928094887349,1.232595164407831e-28,0.0
AB167343,-3.321928094887349,1.232595164407831e-28,0.0
AB167346,-3.321928094887349,1.232595164407831e-28,0.0
AB209061,-0.21144687665502368,0.3936934458284865,1.0
AB209185,-2.210237276048022,0.3960825654766215,0.5644444444444444
