status,seed,iterations,valid_iterations,ci_low,ci_high,median_beta,outcome,N
estimated,20260929,2000,2000,0.10414453472621307,0.3358256105215987,0.22079592161585626,HRDetect_probability,225
estimated,20260930,2000,2000,7.616656307532149,20.621549356202664,13.958040782156377,scarHRD_score,225
