outcome,N,iterations,seed,observed_beta,observed_abs_t,empirical_p,percentile,eligible_pool_n
HRDetect_probability,225,5000,20260909,0.2188371795401042,3.896730466918545,0.03819236152769446,96.2,20035
scarHRD_score,225,5000,20260909,13.993421847893854,4.494281195507747,0.05598880223955209,94.42,20035
